recipedetails,assist_action_ad,assist_action_image,assist_action_sub,assist_action_search,assist_action_video,assist_action_activate,assist_action_clarify
heat a of qt dutch oven over med heat and add oil,0,1,0,0,1,0,1
when it smokes add chicken,0,1,0,0,1,0,1
cook until well brownedabout a minutesthen flip and repeat,0,1,0,0,1,0,1
transfer chicken to a plate,0,1,0,0,1,0,1
drain all but a tablespoon of drippings,0,1,0,0,1,0,1
return to stove on med heat,0,1,0,0,1,0,1
add onions sprinkle with salt and pepper,0,1,0,0,1,0,1
cook until golden and softenedabout a minutes,0,1,0,0,1,0,1
add potatoes and broth and stir,0,1,0,0,1,0,1
add chicken back to pot bring to a boil then reduce heat to mediumlow,0,1,0,0,1,0,1
cover and cook until chicken is done and potatoes are tender about of minutes,0,1,0,0,1,0,1
remove chicken to a plate and cover,0,1,0,0,1,0,1
bring sauce to a boil and cook until slightly reducedabout of minutes,0,1,0,0,1,0,1
return chicken to pot and turn it to moisten in sauce,0,1,0,0,1,0,1
with a stand mixer or hand mixer and large bowl cream the butter and sugar until light in texture,0,0,0,0,1,0,0
blend the molasses eggs and vanilla into the butter mixture until it becomes a uniform color,0,1,0,0,0,0,0
add all the ingredients except the raisins and nuts to the butter mixture and thoroughly combine fold in raisins and nuts be sure to thoroughly fold the bottom ingredients to the top to ensure a homogeneous dough,0,0,0,0,0,0,1
line your baking pan with parchment paper drop the dough in mounded teaspoonfuls onto the parchment paper i like to use two spoons to help me shape the dough one to pull the dough out of the bowl the other to shape the top of the dough ball be sure to give each cookie plenty of space around about a inches in between because these do spread,0,1,0,0,0,0,0
preheat the oven to 375 degrees and bake the cookies 1112 minutes or until the outer edges are slightly firm however the center should be still soft,0,1,0,0,0,0,0
once the cookies are removed from the oven allow them to rest a minutes on the pan before removing them after the a minutes simply slide the parchment with the cookies off the pan and onto the counter allow the cookies to cool to room temperature before packing them into airtight containers makes a dozen cookies,0,1,0,0,0,0,0
boil the lorettes for of minutes in plenty of water to which a tablespoon of milk has been added,0,0,0,0,1,0,0
drain and pat dry on a clean cloth,0,0,0,0,1,0,0
make thin batter out of flour and a tablespooncornflour adding of teaspoon each of ginger and garlic and red chilli powder and salt to taste,0,0,0,0,1,0,0
dip the lorettes in the batter one by one and deep fry in hot oil keep aside,0,0,0,0,1,0,0
in the remaining oil add remaining ginger garlic and crushed red chilli and fry for a minute,0,0,0,0,1,0,0
add the salt and spring onions,0,0,0,0,1,0,0
stir fry for a minute add a of cups water and bring to a boil,0,0,0,0,1,0,0
add a tablespoon cornflour to of cup water and dissolve well,0,0,0,0,1,0,0
gradually add to the gravy and stir continuously till it resumes boiling,0,0,0,0,1,0,0
boil till the gravy becomes transparent add lorettes and soya sauce,0,0,0,0,1,0,0
boil for two more minutes and remove,0,0,0,0,1,0,0
serve hot with noodles or rice,0,0,0,0,1,0,0
variationsdry manchurian can be made by omitting the gravy,0,0,0,0,1,0,0
make lorettes as above and instead of adding water as above add fried lorettes spring onions and soya sauce at this stage,0,0,0,0,1,0,0
sprinkle a teaspoon cornflour on the lorettes and starry for a minutes,0,0,0,0,1,0,0
serve piping hot with toothpicks or miniforks and chilligarlic sauce or tomato sauce,0,0,0,0,1,0,0
same procedure for veg manchurian with gravy or dry but instead of using only cauliflower use finely chopped minced vegetables and bind with some cornflour or bread crumbs and make small lumps the size of a singsong ball,0,1,0,0,1,0,1
fry as above and proceed as above,0,1,0,0,1,0,0
making time of minutes,0,0,0,0,1,0,0
makes for a,0,1,0,0,1,0,0
shelf life best fresh,0,0,1,0,0,1,0
directions combine all ingredients in a bowl store in an airtight container in the refrigerator for up to one month,0,0,0,0,0,0,1
bake at 350 degrees for of hour,0,0,1,0,0,0,0
pound the breast and dip in egg coat with bread crumbs fry in oil marinate in baking dish overnight with soup and wine and chicken broth cover with foil and bake,0,1,0,1,1,0,1
if the fillets are frozen thaw them,0,1,0,1,1,0,1
mix corn flour salt and white pepper,0,1,0,1,1,0,0
dredge the fillets through the flour mixture set aside,0,1,0,1,1,0,1
saute the onion in the oil and butter until it begins to brown,0,1,1,1,1,0,1
add the cod fillets brown them for a minutes on each side,0,1,0,1,1,0,0
add of cup milk to partially cover them and simmer for a minutes when done remove them to a platter,0,1,0,1,1,0,1
add cornstarch and stir in the remaining milk season with salt let the sauce bubble for of minutes until slightly thicker,0,1,0,1,1,0,0
pour the sauce over the fish garnish with lots of chopped parsley and serve with pila and green salad,0,1,0,1,1,0,1
combine the coconut red chile mustard seeds cumin seeds sugar and about a tablespoons of water in the bowl of a food processor process just until the ingredients are well combined and are just starting to form a coarse paste about of seconds,0,1,0,0,1,0,1
toss the coconut mixture with the mangoes and chill,0,1,0,0,0,1,1
this recipe yields a servings,0,1,0,0,1,1,1
preheat oven to 300f degrees,0,1,0,0,0,0,0
mix together the oats sesame seeds almonds and sunflower seeds,0,0,0,0,0,0,1
pour honey oil,0,0,0,1,0,0,0
water over this mixture and stir well,0,0,0,0,0,0,1
spread on a large cookie sheet and bake of minutes until nicely browned on top,0,0,0,1,0,0,0
stir the granola often while baking about every a minutes,0,0,0,1,0,0,0
remove from oven allow to cool and add raisins coconut and cerasins,0,0,0,0,0,0,1
preheat oven to 325 degrees f wash and dry of tin cans of to of ounces each or of small cup souffle dishes grease and flour insides,0,0,0,1,0,0,0
in large bowl of electric mixer beat butter sugar eggs and vanilla until fluffy beat a minutes on high speed scraping bowl occasionally,0,0,0,0,1,0,0
combine flour baking powder and salt,0,0,0,0,0,0,1
add dry ingredients to batter alternately with milk,0,0,0,0,1,0,0
spoon about of cup of batter into each prepared tin can bake until a toothpick inserted in center comes out clean of to of minutes the tops will not brown,0,1,0,0,0,0,0
remove to a wire rack and cool completely until the edges become dry and crusty run a knife around the inside of cans or dishes to loosen edges tap on a counter then turn cakes out they should slide out easily,0,0,0,0,0,0,1
with a serrated knife cut off and discard the rounded tops of cakes,0,0,0,0,0,0,1
turn cakes upside down so cut edges are on the bottom cut cakes into two layers and fill with whipped cream and fresh fruit,0,0,0,0,0,0,1
heat the oven to 400°f stir the soup milk cheese and black pepper in a quart shallow baking dish stir in the vegetables and chicken,0,1,0,0,0,0,0
bake for of minutes or until the chicken mixture is hot and bubbling stir the chicken mixture top the chicken mixture with the biscuits,0,1,0,0,0,0,0
bake for of minutes or until the biscuits are golden brown,0,1,0,0,0,0,0
if you can boil water you can poach a fish fillet its that easy one mistake you should guard against is overcooking the fillet even though poaching is a moist way to cook fish it is important to halt the process as soon as the fish is fully cooked most fish cooked longer then of min usually turns out dry with a strong unpleasant odor,0,1,1,1,1,0,1
an aromatic poaching liquid greatly enhances the flavor helps keep cooking odors pleasant and totally eliminates the need for adding calorieladen oil or butter a flavorful poaching stock can easily be brewed by boiling water for a short time with a variety of herbs and spices and sliced lemon lime or orange,0,1,1,1,1,0,1
whole fish like trout or flounder can be successfully poached in a roasting,0,1,0,0,1,0,1
pan on top of the stove but smaller more delicate portions of fish fillet is more practical for family meals tailed fillets of salmon are,0,1,0,1,1,0,1
bonelet poach quickly and are readily available but you find most varieties of fish flounder sole trout halibut cod red snapper rock,0,1,0,1,0,0,1
fish are also superb when prepared using the poaching method,0,1,0,1,1,0,1
here is a a failsafe technique for poaching fish fillets using herbs spices and citrus,0,1,0,1,1,0,1
to make a flavorful poaching stock pour water into a large straightsided,0,1,0,1,1,0,1
skillet or electric frying pan add mixed pickling spices bay leaves and lemon slices bring to a boil over high heat and cook for a min,0,1,0,0,1,0,0
rinse the fish fillet skin on or off under cold water place fish flat,0,1,0,1,1,0,1
skin side down in the boiling stock be sure liquid just barely covers the fillet add more hot water if necessary reduce the heat to med,0,1,0,0,1,0,0
avoid a rolling boil now or the fish will overcook and break apart fish should just barely simmer with no bubbles for of of min depending on the thickness,0,1,0,1,1,0,0
remove skillet from heat and promptly lift fillet from hot liquid using a,0,1,0,1,1,0,1
large spatula with holes or two smaller spatulas do not allow fish to sit in hot liquid and overcook,0,1,0,1,1,0,1
serve poached fish fillet hot right out of the poaching bouillon or chill them for a nextday luncheon buffet quickly wrap freshly poached fillets in sheets of plastic wrap and then in aluminum foil allow to cool Othe counter for of min then place inte refrigerator and chill up to of hrs remove from refrigerator of min before serving and garnish with lemon slices,1,1,1,0,1,0,0
its getting hot baby time to cool off and put on a big red smile with this special summer recipe now you can make your own version of the popular convenience store slush we know from the excruciating brain freeze that follows a big ol gulp you must have a blender to make this clone of elevens Slurpee and enough room to stick that blender into your freezer to get it nice and thick,0,0,0,0,1,0,0
this recipe gets close to the original with koolaid mix and a little help from cherry extract but you can make this drink with any flavor koolaid mix if you decide to make some variations dont worry about adding extract,0,0,0,0,1,0,0
this recipe makes enough to fill one of those giantsize ounce cups you find at the convenience store now if we could just figure out how to make those funky spoonstraws,0,0,0,0,1,0,0
a cups cold club soda cup sugar teaspoon plus of teaspoon cherry flavored unsweetened koolaid mix of teaspoon cherry extract of cups crushed ice,0,0,0,0,1,0,0
pour a cup of the club soda into a blender add the sugar koolaid mix and cherry extract blend this until all of the sugar is dissolved,0,0,0,0,1,0,0
add the crushed ice and blend on high speed until the drink is a slushy smooth consistency with no remaining chunks of ice,0,0,0,0,1,0,0
add the remaining club soda and blend briefly until mixed you may have to stop the blender and use a long spoon to stir up the contents,0,0,0,0,1,0,0
if necessary put the blender into your freezer for hour this will help thicken it up after hour remove blender from freezer and again blend briefly to mix,0,0,0,0,1,0,0
makes ounces,0,0,0,0,1,0,0
line an ex square pan with tin foil set aside,0,1,0,0,0,0,0
add the frosted animal crackers and cream cheese into a food processor run on high until things stop moving scrape down the sides of the bowl and move the cookie mixture around with a spatula,0,1,0,0,0,0,0
continue processing on high until the cookies and cream cheese are smooth and creamy it may take a few times of stopping and scrapping the bowl down set aside,0,1,0,0,0,0,0
add the white chocolate candy melts into a microwavesafe bowl microwave for of seconds and stir repeat microwaving for of seconds and stirring until the candy melts are completely melted,0,1,0,0,0,0,0
add half of the white chocolate into the bottom of the tin foil lined pan spread evenly with an offset spatula let harden to speed up the process place in the fridge for about of minutes or until it has set up,0,0,0,0,1,0,0
once the white chocolate is hard dump the animal cracker mixture on it spread it out as evenly as possible using your hands or wax paper i used my hands because it was easier and what i had available,0,0,0,0,1,0,0
reheat the white chocolate if needed by microwaving for of seconds and stirring pour the remaining white chocolate on top of the animal cracker mixture try to drizzle it all over so its easier to coat everything,0,0,0,0,1,0,0
working quickly add the pink candy melts into a sandwich bag microwave for of seconds and stir pinch the back and flip it over in the microwave repeat microwaving and pinching the bag until smooth,0,0,0,0,1,0,0
cut a small corner out of the sandwich bag drizzle the pink candy melt over top of the wet white chocolate give it a nice little design and fill in any holes tap the pan on the counter to smooth out the chocolate,0,0,0,0,1,0,0
sprinkle the nonpareils on top of the chocolate dont tap it again otherwise your sprinkles will sink down in place into the fridge to chill this will take about a hour,0,1,0,0,0,0,0
cut the bark with a sharp knife if it starts cracking cut along the crack go with the flow,0,0,0,0,1,0,0
store in the fridge,0,0,0,0,0,0,1
stir together flour cocoa and sugar set aside,0,0,0,0,1,0,0
beat eggs in medium size mixing bowl,0,1,0,0,0,0,0
add flour mixture to eggs a little at a time alternating with buttermilk and beating with a hand mixture until smooth,0,0,0,0,0,0,1
beat in melted butter,0,0,0,0,0,0,1
place crepe batter in refrigerator note you will add the skim milk to the batter later,0,1,0,0,0,0,0
heat marshmallows and of cup milk in double boiler until well blended and marshmallows fully melted,0,0,0,0,1,0,0
refrigerate marshmallow mixture for about of hour stirring occasionally until it reaches a slightly thick consistency the mixture should mound up when stirring,0,0,0,0,1,0,0
using hand mixture beat creme de cacao and creme de menthe into marshmallow mixture until fully blended,0,0,0,0,0,0,1
beat heavy cream until stiff,0,0,0,0,0,0,1
fold cream into marshmallow mixture mixing with a spatula until fully blended and smooth consistency,0,0,0,0,0,0,1
return marshmallow mixture to refrigerator,0,0,0,0,0,0,1
remove crepe batter from refrigerator,0,0,0,0,0,0,1
whisk into batter enough of the skim milk to gain desired consistency batter should be thin but not runny,0,1,0,0,0,0,0
heat a shallow medium sized skillet on medium heat,0,0,0,0,0,0,1
when skillet is fully heated lift skillet from burner spray with cooking spray then pour of cup batter onto the middle of the skillet then turn with your wrist quickly to cover entire bottom of skillet with crepe mixture,0,0,0,1,0,0,0
return skillet to burner,0,0,0,0,0,0,1
cook crepe for about one minute or until crepe appears cooked throughout,0,0,1,0,0,0,0
using a thin pancake turner turn crepe,0,0,0,0,0,0,1
continue cooking for about one minute then remove and transfer to a plate,0,1,0,0,0,0,0
stack crepes on plate until finished then cover crepes with plastic wrap and refrigerate for at least one hour,0,0,0,1,0,0,0
when crepes are easily handled and malleable remove from refrigerator along with filling,0,0,0,1,0,0,0
spoon about of cup of filling onto one side of crepe about one inch from side fold crepe over fold over sides then fold crepe again note fold it like you would a burrito,0,0,0,0,1,0,0
this is a recipe that ive used for the last six years and have had nothing but rave reviews for the last three my wife and i have been taking orders for christmas this year was almost three hundred sold i have scaled this down for you to yield a pies,0,0,0,0,1,0,0
filling pt a wash and cut up the meats into large chunks brush rabbit,0,1,0,0,0,0,1
or beef with the meat magic place meats in a heavy pot and let sit while you dice up the onion add of the onion spices soup base add enough water to cover cook on medium heat until meat is easily removed from bones strain reserving juice,0,1,0,0,0,0,1
cool meat remove excess fat and bones chop fine and add the following filling pt a add enough of the reserved juice to obtain a semimoist texture,0,1,0,0,1,0,0
the dough you do not have to knead this dough mix pt a and let dissolve set to one side for of minutes,0,0,0,1,1,0,0
in a large bowl place pt a,0,1,0,0,1,0,0
add a of to a cups of flour a cup at a time until you have obtain a soft dough cover and set aside for of to of minutes,0,0,0,0,1,0,0
cut dough into a pieces roll out each piece of dough of inch thick to fit pie plates place of meat mixture in each shell shell brush edges of bottom crust with water before placing the top on and trimming edges use fork to press down edges to seal the pie crust trim excess poke a few fork holes on top to allow steam to escape cover filled pies and let crust raise of to of minutes cook in a preheated 375 f oven until golden brown,0,1,0,0,0,0,1
makes a pies,0,1,0,0,1,0,0
notechis recipe is excellent for freezing,0,1,0,0,1,0,0
in a small bowl combine lime juice and maple syrup and stir well,0,1,0,0,0,0,0
in a medium bowl combine nectarines and blueberries pour dressing over fruit and toss to coat gently stir in basil,0,1,0,0,0,0,0
in small bowl dissolve yeast and sugar in water set aside until bubbly about a minutes,0,1,0,0,1,0,0
mound flour on work surface make a well in center and pour yeast mixture salt and a tablespoon oil into it with your fingers gradually incorporate flour into liquid until dough forms if mixture is too dry to hold together sprinkle a little additional water over dough and mix well,0,1,0,0,1,0,0
knead dough until smooth about a minutes place dough in oiled large bowl turning to coat cover with kitchen towel and let rise in a warm place until doubled in bulk about a hour,0,1,0,0,1,0,0
spray jellyroll pan or cookie sheet with cooking spray punch dough down,0,1,0,0,1,0,0
place dough in center of prepared pan and spread out evenly to cover pan using your fingers to dimple surface brush remaining a tablespoons oil over dough sprinkle with herbs let rise in a warm place uncovered of minutes,0,1,0,0,1,0,0
preheat oven to 400 f bake until top is a light golden brown about of minutes cut into slices to serve,0,1,0,0,1,0,0
preheat the oven to 325 degrees fold of pieces of aluminum foil 134,0,1,0,0,0,0,0
top inch length in half twice wrap the folded foil around a small spice bottle to create a mold leave the top of the mold open for pouring in the batter arrange them on a cookie sheet or in a shallow pan grease the inside of each mold with a light coating of nonstick spray,0,0,0,1,0,0,0
disregard the directions on the box of cake mix instead beat the egg whites until stiff combine them with the cake mix and water and beat until thoroughly blended about a minutes pour the batter into the molds filling each one about of inch bake for about of minutes or until the cake is golden brown and a toothpick stuck in the center comes out clean,0,0,0,0,0,0,1
for the filling cream the butter and shortening slowly add the sugars while beating add the evaporated milk vanilla and lemon extract mix on medium speed until completely smooth and fluffy when the cakes are done and cooled use a tooth pick to make three small holes in the bottom of each one move the toothpick around the inside of each cake to create space for the filling using a cake decorator or plastic bag or pastry bag inject each cake with filling through all three holes,0,0,0,0,0,0,1
preheat oven to 350 degrees line baking pan with parchment paper,0,0,0,0,0,0,1
in a large mixing bowl add in the sugar butter and shortening mix on medium until light and fluffy,0,0,0,0,0,0,1
add in the molasses and beat until combined scrape down the sides of the bowl,0,1,0,0,0,0,0
add in the water and egg and beat until thoroughly incorporated,0,0,0,0,0,1,0
add in the salt cinnamon ginger baking soda and flour mix on low until most of the flour is incorporated turn hand mixer on medium and finish beating the flour into the dough,0,0,0,0,0,0,1
lightly flour a clean counter roll the dough out to a of in thickness and cut out using a round cookie cutter i think mine was a a or of inch circle,0,0,0,0,0,0,1
cut the circles out as close as you can to each other to save on rolling it out and incorporating extra flour into the dough place a cookies on the prepared baking pan,0,0,0,1,0,0,0
place into the oven and bake for of minutes or until done,0,0,0,0,1,0,0
let cool for five minutes on the pan and then move to a wire rack or paper towel to finish cooling,0,1,0,0,0,0,0
store in an airtight container,0,0,0,0,0,0,1
fry bacon and onion in a quart saucepan until onion is tender add shredded potato calm juice and just enough water to cover the potato,0,1,0,0,1,0,0
simmer until the potato is tender of to of minutes,0,1,0,0,1,0,0
add the drained clams milk salt and pepper heat just to the boiling point,0,1,0,0,1,0,0
just before servings drop in butter,0,1,0,0,1,0,0
preheat a grill over a mediumhigh flame brushing grill with canola oil,0,1,0,0,0,0,0
cut grapefruit in half crosswise,0,1,0,0,0,0,0
place fruit cut side down on the grill and cook for of minutes or until warmed through,0,1,0,0,0,0,0
sprinkle warm halves with brown sugar and serve immediately,0,1,0,0,0,0,0
squeeze lemon and set aside put sugar in a glass add ice water stirring until sugar is dissolved add lemon juice and pour over crushed ice,0,1,0,0,1,0,1
optional soda water may be used as an alternative to water if desired,0,1,0,0,1,0,1
combine all ingredients,0,0,0,0,0,0,1
chill at least a hour before serving,0,1,0,0,0,0,0
salt and pepper to taste,0,0,1,0,0,0,0
pour of cup servings,0,0,0,0,1,0,0
preheat oven to 400,0,1,0,0,0,0,0
line a large inch pie plate with rolled out pastry dough prick with a fork and bake for of minutes,0,1,0,0,0,0,0
remove from oven and reduce heat to 350,0,1,0,0,0,0,0
in a small bowl combine sugar flour and salt,0,1,0,0,0,0,0
mix well and spread evenly over the bottom of the crust,0,1,0,0,0,0,0
warm cream in the microwave warm not hot and then carefully pour the warmed cream over the sugar mixture completely covering it,0,1,0,0,0,0,0
in bits dab butter over the cream,0,1,0,0,0,0,0
bake at 350,0,1,0,0,0,0,0
f for of minutes to an hour or until golden spots form on the top,0,1,0,0,0,0,0
the filling will seem liquid but will become firmer as it cools,0,1,0,0,0,0,0
in a large bowl combine vinegar oil parsley green onions garlic rosemary and black pepper add steak coat well with marinade cover bowl with plastic wrap and refrigerate for at least a hours or overnight,1,1,0,0,1,0,1
surfing a large bowl whisk together oil vinegar hoising sauce lemon grass savory and shallots add black pepper to taste add lobster tails making sure all surfaces are well coated with marinade and marinade for of of minutes do not marinade for longer than a hour or acid in marinade will start to cook tender lobster flesh carefully thread each lobster tail half on a skewer cover and refrigerate until ready to grill,0,1,0,0,1,1,1
grilling the surf and turfprepare grill and preheat to medium high brush excess marinade off steak and grill until desired degree of doneness is reached remove from grill and let rest for a to of minutes as soon as steak is off grill place lobster on grill and cook for about a of minutes on each side or until grill marks appear place a skewers on plate with each steak and serve immediately,0,1,0,0,1,1,1
preheat oven 375 degrees,0,1,0,0,0,0,0
meanwhile get started on your crust in a bowl combine the cracker crumbs nuts and cinnamon then stir in the butter press the crust mixture into the bottom and about a inches up the sides of a inch springworm pan now make the filling,0,0,0,0,1,0,0
in a mixer bowl combine cream cheese sugar cornstarch and vanilla beat until fluffy add eggs and yolks all at once beating on low speed just until combined fold in the cream and the pumpkin pulp it will appear broken but will bake beautifully pour into the crustlined pan place on a shallow baking pan in oven bake for of to of minutes or until the center appears nearly set when shaken cool of minutes loosen sides of the pan and cool for of minutes chill for a hours before serving this recipe yields a to a servings,0,0,0,0,1,0,0
this recipe yields a to a servings,0,1,0,0,0,0,0
on the work surface open the boned lamb out to make as close to a rectangle as you can carefully trim off as much of the fat as possible and dispose of it,0,0,0,0,1,0,0
chop the anchovies finely and combine in a small bowl with dried thyme minced garlic and oil add half a teaspoon of salt and mix altogether spread half of this mixture over the lamb and then roll and tie it tightly with string before spreading the rest of the anchovy mixture over the outside,0,0,0,0,1,0,0
in a small pan combine the stock and vermouth bring to the boil and then reduce to an enthusiastic simmer stir in the mustard and cream and continue to simmer as you roast the lamb the sauce wants to be reduced to a coating consistency and there should be about half a cup when finished enough for a spoonful over each serving of lamb,0,1,0,0,0,0,0
heat the oven to 240 degrees c and roast the lamb for about twenty five minutes if you like it on the pink side as i do for medium lamb roast for a further ten minutes and then remove from the oven to rest for ten or fifteen minutes before serving if serving onto hot plates then the lamb can be left to rest in the open if the plates arent likely to be very hot then rest the meat in a warm oven,0,0,0,0,0,0,1
serve a couple of slices of lamb per serving along with a spoonful of sauce,0,0,1,0,0,0,0
soak dried navy beans overnight in a large pot you want the water to be cold and about of inches above the beans cover and refrigerate at least a hours,0,1,0,0,1,0,0
drain and rinse the beans place in a large pot and cover by of inches of fresh water bring to a boil reduce heat and simmer for a – 1½ hours until the beans are tender but not bursting,0,1,0,1,1,0,0
in the meantime combine teriyaki sauce soy sauce pineapple juice brown sugar and ginger in a medium bowl whisk until brown sugar has dissolved set aside,0,1,0,0,1,0,0
preheat oven to 350,0,1,0,0,1,0,0
reserving a cups of the boiled water drain the beans,0,1,0,0,1,0,0
in a large dutch oven saute bacon for of minutes over medium high heat with a slotted spoon remove bacon and set aside,0,1,0,0,1,0,0
add onions to the bacon fat and cook until translucent about a minutes add garlic and pineapple and saute for an additional minute until the garlic becomes fragrant,0,1,0,0,1,0,0
place bacon back into the dutch oven and add the cubed ham steak beans reserved water and prepared sauce stir well to combine,0,1,0,0,1,0,0
bake in the oven covered for of minutes reduce heat to 200 and continue to cook for a hours stirring halfway through,0,1,0,0,1,0,0
after a hours remove lid increase heat to 350 and cook for an additional of hours stirring every twenty minutes until the sauce has thickened,0,1,0,0,1,0,0
soak husks according to directions in basic tamales for tamale dough beat lard and salt until fluffy slowly beat in masa mix alternately with water until very light and fluffy add brown sugar baking powder cinnamon and nutmeg mixing until well blended,0,1,0,0,0,0,0
to assemble tamales drain corn husks pat dry spread a tablespoons dough on center of husks forming a a x inch rectangle and spreading completely to right edge spoon a teaspoon each pecans and raisins lengthwise down center of rectangle,0,1,0,0,0,0,0
to enclose and steam tamales proceed according to directions in basic tamales,0,1,0,0,0,0,0
makes of,0,1,0,0,0,0,0
position a rack in middle of oven and preheat to 350 degrees butter a inch of inch diameter springworm pan line bottom with a round of parchment paper butter parchment dust with flour tap out excess arrange berries in a single layer in bottom of pan sprinkle evenly with of cup sugar,0,1,0,0,0,0,0
sift 213 cups cake flour baking powder salt and baking soda into a medium bowl set aside using an electric mixer beat of cup butter and remaining 113 cups sugar in a large bowl at mediumhigh speed occasionally scraping down sides of bowl until pale and fluffy about a minutes add eggs one at a time beating well after each addition beat in vanilla and zest reduce speed to low beat in flour mixture in a additions alternating with buttermilk in a additions beginning and ending with flour mixture and beating just until incorporated pour batter over berries in pan smooth top,1,0,0,0,0,0,0
bake until cake is golden brown and a tester inserted into the center comes out clean about a hour of minutes let cool in pan set on a wire rack for of minutes then run a thin sharp knife around edge of pan to loosen remove pan sides invert cake onto rack and remove pan bottom peel off parchment dust top generously with powdered sugar and let cool completely,1,0,0,0,0,0,0
combine tomatoes and contents of package in a medium saucepan,0,0,0,0,1,0,0
heat to a boil reduce heat and simmer a minutes,0,0,0,0,1,0,0
cool to room temperature about of minutes before serving,0,0,0,0,1,0,0
refrigerate up to a weeks,0,0,0,0,1,0,0
in a large nonreactive saucepan crush blueberries with a potato masher or back of a heavy spoon add vinegar sugar lime and cinnamon and bring to a boil reduce heat and simmer covered for of minutes,0,1,0,0,0,0,0
cool slightly and pour into a large bowl cover and refrigerate for a days to allow flavors to blend,0,1,0,0,0,0,0
place a wire mesh strainer over a large bowl in batches ladle blueberry mixture into strainer pressing out as much liquid as possible discard solids,0,1,0,0,0,0,0
pour vinegar into clean glass bottles or jars and refrigerate tightly covered indefinitely use in salad dressings or drizzled over chicken or beef,0,1,0,0,0,0,0
this recipe yields a of cups,0,1,0,0,0,0,0
yield a of cups,0,1,0,0,0,0,0
peel the potatoes and cut them in strips or use the mandoline to 18” thickness or larger if a deep fryer is available heat the oil at the maximum high and cook following you fryer instructions if using a regular frying pan add enough oil to come up the side by at least a inch,0,0,0,0,1,0,0
on high heat warm the oil a good test to see if the oil is hot enough add a french fry and the oil should bubble around it,0,1,0,0,0,0,0
add half of the potatoes but do not overcrowd when a nice golden color remove with a slotted spoon and drain on paper towel,0,1,0,0,0,0,0
sprinkle generously with salt,0,1,0,0,0,0,0
repeat with the remaining potatoes serve hot,0,1,0,0,0,0,0
steaks,0,0,0,0,1,0,0
place the steaks in a dish and add half of the cognac let it soak each steaks on both sides for a minute or so,0,1,0,0,0,0,0
remove from the cognac and place the steaks on a dish press the pepper on each side of the steak,0,1,0,0,0,0,0
heat the butter in a skillet and brown the steak a minutes on each side over high heat,0,1,0,0,0,0,0
pour the cognac and carefully set a light flambé you do not have to if you do not feel comfortable doing so,0,1,0,0,0,0,0
when the flame have died down remove the steals from the skillet and keep warm discard the cooking butter and add the heavy cream to the pan scraping up the bottom of the skillet with a wooden spoon to incorporate all the cooking juices,0,0,0,0,1,0,0
season to taste and pour over the steaks,0,1,0,0,0,0,0
mix together the mashed potatoes potato water shortening and sugar add to this about a of cups flour and the dissolved yeast set this dough aside to rise in a warm place over night the following morning add the eggs of cup sugar and a of cups flour allow this mixture to stand in a warm place until light then roll out pieces a by a by a inch thick and place in greased oblong pans when cakes are ready to be put into the oven brush top of cake with melted butter strew over the tops of the cakes the topping mixture this mixture should be,0,1,0,0,1,0,0
for the scallops make a spice rub with a thai chili a cloves garlic salt and pepper chopped finely or ground in a spice grinder,0,1,0,0,1,0,0
rub the spice mixture on the scallops and drizzle the juice of a half a lime on top sear the scallops in a hot pan with oil until they have a caramel crust,0,1,0,0,1,0,0
for the risotto cook shallots in a large pan with oil for a few minutes until brown add rest of the thai chilis and garlic and saute for a few more minutes,0,1,0,0,1,0,0
add arborio rice and cook until it starts to look transparent on the edges,0,1,0,0,1,0,0
deglaze with some chicken broth then add a can of coconut milk some more chicken broth fish sauce of cup lime juice cilantro,0,1,0,0,0,1,0
continue to add broth occasionally and stir until rice is cooked the way you would with any risotto,0,1,0,0,1,0,0
garnish with chopped scallions serve scallops over risotto,0,1,0,0,1,0,0
prepare boiling water canner heat jars and lids in simmering water until ready for use do not boil set bands aside,0,0,0,1,0,1,0
cut cucumbers into inch thick slices discarding ends combine vinegar sugar and contents of package in a medium saucepan heat to a boil,0,0,1,0,0,0,0
pack cucumber slices into hot jars leaving of inch headspace ladle hot pickling liquid over cucumbers leaving of inch headspace remove air bubbles wipe rim center hot lid on jar apply band and adjust until fit is fingertip tight,0,0,0,0,1,0,0
process filled jars in a boiling water canner for of minutes adjusting for altitude remove jars and cool check lids for seal after of hours lid should not flex up and down when center is pressed,0,0,0,0,1,0,0
cupcake directions,0,1,0,0,0,0,0
preheat oven to 350 degrees prepare your cupcake pan with liners combine flour baking soda salt spices in a large bowl,0,0,0,0,1,0,0
with an electric mixer cream butter both sugars add eggs one at a time add applesauce and pumpkin and then flour mixture beating until just combined fill cupcake liners about threequarters full bake approximately of minutes but check frequently after of minutes cool completely,0,0,0,0,1,0,0
frosting directions,0,0,0,0,1,0,0
cream butter and cream cheese until smooth add vanilla begin adding confectioners sugar in of cup increments add cinnamon and beat until smooth and creamy,0,1,0,0,0,0,0
noodles,0,1,0,0,0,0,1
cook noodles in boiling water for about a mins or until it ceases to stick together remove and blanch in cold water put the noodles back in another pot of boiling vegetable stock and cook another of mins or till it reaches the right texture,0,0,0,0,1,1,1
meanwhile mix all ingredients of seasoning in a bowl,0,0,0,0,1,0,1
